Feature,Importance
S_15_Histogram mode,104
B_7_Absolute energy,106
B_1_Standard deviation,106
D_102_Absolute energy,108
B_9_Histogram mode,108
R_10_Standard deviation,110
S_8_ECDF Percentile_0,111
D_51_Max,112
B_23_Absolute energy,112
D_60_Median,114
B_37_Mean absolute deviation,114
B_10_Histogram mode,116
R_3_Min,118
B_28_ECDF Percentile_1,118
B_9_Standard deviation,118
D_63_CL_Skewness,120
S_15_Peak to peak distance,121
B_7_Mean absolute deviation,122
R_4_Mean,123
B_12_Average power,124
S_26_Average power,125
D_71_Max,125
B_5_Median absolute deviation,127
B_14_Standard deviation,128
S_5_Min,129
B_10_Max,131
S_5_Interquartile range,131
B_9_Interquartile range,131
B_28_Root mean square,133
D_75_Peak to peak distance,134
R_3_Kurtosis,135
R_10_Average power,136
R_5_Standard deviation,137
B_28_Median,138
B_40_Median,139
R_16_Standard deviation,140
S_11_Median,141
R_16_ECDF Percentile_1,143
R_2_Absolute energy,143
B_14_ECDF Percentile_1,143
B_40_Median absolute deviation,145
B_23_ECDF Percentile_1,146
B_5_Kurtosis,146
S_5_Peak to peak distance,148
R_3_Histogram mode,148
B_37_Histogram mode,150
D_133_Median absolute deviation,151
B_40_Histogram mode,151
B_18_Max,153
R_12_Skewness,153
B_9_Skewness,155
S_13_Max,156
B_28_Mean,157
B_5_Skewness,157
B_40_Min,159
B_28_Average power,160
R_4_Root mean square,161
R_2_Max,161
D_75_Median,163
B_5_Histogram mode,164
D_102_ECDF Percentile_1,164
D_39_Histogram mode,166
B_12_Mean,167
B_28_Median absolute deviation,168
B_11_Peak to peak distance,169
S_15_Min,170
B_10_Peak to peak distance,172
R_11_Standard deviation,172
B_18_Average power,172
B_10_Interquartile range,175
B_28_Standard deviation,175
B_14_Min,175
B_4_Skewness,175
R_11_ECDF Percentile_1,178
R_10_Histogram mode,179
R_1_Kurtosis,180
D_60_Max,181
B_12_ECDF Percentile_1,182
R_11_Root mean square,183
B_28_Min,184
D_60_Histogram mode,185
B_11_ECDF Percentile_1,186
S_26_ECDF Percentile_1,186
D_102_Median absolute deviation,188
R_3_Skewness,189
B_10_Standard deviation,189
D_71_Peak to peak distance,191
D_60_Peak to peak distance,192
D_133_Absolute energy,193
B_18_Absolute energy,194
R_3_Standard deviation,194
B_14_ECDF Percentile_0,196
B_28_Mean absolute deviation,197
D_75_ECDF Percentile_0,197
B_4_Min,199
R_16_Skewness,199
D_144_Interquartile range,201
D_58_Histogram mode,202
D_71_Average power,202
S_11_Min,204
R_10_Peak to peak distance,205
B_14_Interquartile range,206
B_28_Kurtosis,207
D_71_Median,208
R_12_Root mean square,209
S_5_ECDF Percentile_0,210
D_63_CR_Average power,211
B_4_Kurtosis,212
B_4_Histogram mode,212
D_51_Standard deviation,215
B_9_Peak to peak distance,215
B_7_ECDF Percentile_0,215
D_133_Interquartile range,218
B_40_ECDF Percentile_0,218
D_39_ECDF Percentile_1,218
S_13_Peak to peak distance,220
B_12_Mean absolute deviation,221
B_14_Root mean square,221
B_4_Median,224
D_102_Mean absolute deviation,224
B_10_Average power,224
S_26_Median absolute deviation,226
R_4_Mean absolute deviation,227
B_14_Skewness,227
B_10_Mean absolute deviation,230
B_37_Average power,230
P_4_Skewness,230
D_58_ECDF Percentile_1,230
S_5_Median absolute deviation,233
D_60_Mean absolute deviation,233
R_4_Average power,235
B_40_Absolute energy,235
R_2_Standard deviation,237
B_7_Skewness,238
S_11_ECDF Percentile_0,238
B_40_Mean absolute deviation,241
B_23_Skewness,241
B_12_Min,241
D_75_Mean,243
D_71_ECDF Percentile_1,244
B_4_Interquartile range,245
B_5_Interquartile range,246
B_14_Histogram mode,247
S_11_Interquartile range,248
B_12_Standard deviation,249
D_58_Kurtosis,250
R_16_Max,251
D_65_Interquartile range,252
D_39_Median absolute deviation,252
B_12_Peak to peak distance,254
B_14_Peak to peak distance,255
D_75_Min,255
B_11_ECDF Percentile_0,257
D_51_Peak to peak distance,257
B_37_Peak to peak distance,259
D_71_Standard deviation,260
D_75_ECDF Percentile_1,261
