Feature,Importance
lag_B_10_1,137
diff_B_11_2,138
diff_B_37_7,139
diff_B_40_4,140
diff_B_40_8,141
diff_D_63_CL_9,142
diff_B_10_4,143
lag_B_9_3,145
expanding_min_S_11,145
diff_D_63_CO_8,147
diff_D_126_1.0_7,147
diff_D_63_CL_8,148
cummean_B_28,149
lag_B_12_1,150
lag_R_3_1,152
cummean_B_11,152
lag_D_75_3,153
diff_B_9_6,154
diff_B_28_10,155
diff_S_5_10,156
B_28,157
lag_R_16_1,158
S_26,159
rolling_mean_D_58_6,160
diff_B_9_9,161
B_12,162
cummean_B_14,163
rolling_std_R_3_6,164
ewm_D_102_6,166
ewm_D_144_6,166
expanding_max_B_14,167
cumsum_B_40,168
diff_S_13_6,169
diff_D_102_1,170
diff_D_39_9,171
expanding_min_D_71,172
diff_R_3_2,173
diff_S_8_3,175
rolling_std_D_63_CR_6,175
diff_B_11_7,177
rolling_std_R_5_6,177
diff_B_23_2,178
diff_B_28_9,179
diff_B_5_7,180
cumsum_B_28,182
rolling_std_S_26_6,182
lag_B_5_3,183
lag_B_28_3,184
R_11,185
cumsum_R_2,186
lag_B_1_1,188
diff_B_24_2,188
diff_B_40_6,189
B_24,190
lag_B_11_1,191
diff_R_3_3,192
lag_B_23_2,193
ewm_R_12_6,195
diff_B_40_3,195
cumsum_R_11,196
diff_D_65_5,197
cumsum_R_1,198
cummean_R_6,199
expanding_max_B_18,200
diff_P_4_9,201
diff_R_11_8,202
diff_S_5_2,203
cumsum_S_13,205
lag_B_10_3,205
cummean_D_71,207
diff_B_12_9,207
diff_B_1_7,208
diff_B_9_7,209
expanding_min_R_12,211
diff_D_58_9,211
diff_D_102_6,213
rolling_std_B_7_6,213
diff_R_10_6,213
lag_B_14_3,216
diff_S_8_8,216
lag_R_1_2,217
reverse_ewm_S_15_6,218
diff_D_47_3,219
rolling_mean_R_11_6,221
diff_B_12_3,221
diff_B_7_2,222
rolling_std_R_10_6,223
lag_D_133_1,224
rolling_mean_D_102_6,226
diff_R_11_3,226
rolling_std_B_5_6,226
lag_B_12_2,228
lag_B_37_1,229
lag_B_7_2,230
diff_D_58_6,231
lag_D_58_3,232
rolling_std_D_133_6,233
diff_B_9_4,234
diff_S_26_6,235
diff_R_4_9,236
diff_D_63_CL_1,237
diff_D_133_3,238
diff_P_4_10,239
cummean_S_13,240
cumsum_D_102,241
expanding_max_B_5,243
expanding_min_S_8,243
expanding_max_D_71,244
diff_B_18_4,245
lag_B_23_3,246
diff_B_10_2,247
lag_B_1_2,248
rolling_mean_B_14_6,249
cumsum_D_71,250
cumsum_R_10,252
diff_B_10_5,252
diff_B_11_1,254
diff_D_144_10,254
rolling_mean_B_12_6,254
lag_D_39_2,257
diff_S_26_10,257
diff_S_26_8,260
lag_S_15_3,260
diff_D_102_7,260
diff_B_12_6,260
diff_D_58_4,260
rolling_std_B_12_6,263
expanding_min_B_9,265
expanding_max_R_16,265
diff_D_75_6,266
diff_B_23_1,267
cumsum_B_12,268
diff_R_5_1,270
diff_B_14_2,270
diff_S_26_4,271
diff_B_7_1,272
diff_B_18_10,273
lag_S_26_1,274
diff_D_58_3,276
expanding_min_B_1,276
expanding_min_D_75,277
diff_D_71_4,278
lag_S_15_1,279
expanding_min_R_4,281
diff_R_16_1,281
rolling_std_S_11_6,283
diff_S_5_9,283
diff_B_28_8,284
diff_R_11_6,286
diff_R_2_9,286
cummean_B_10,287
diff_D_133_5,288
diff_S_8_10,289
diff_D_71_2,291
diff_B_10_8,291
diff_B_18_6,292
diff_B_24_3,294
diff_R_3_9,294
diff_S_26_2,295
lag_B_9_1,296
R_6,297
lag_D_39_3,298
diff_B_7_10,299
lag_R_12_3,300
diff_B_10_1,301
cummean_B_24,303
cumsum_B_24,303
diff_R_1_10,304
ewm_S_13_6,305
diff_R_12_5,306
diff_B_40_1,307
diff_S_26_5,308
diff_B_12_5,309
diff_B_24_5,310
diff_S_8_2,311
rolling_mean_P_4_6,312
diff_B_12_1,313
diff_D_39_3,314
lag_D_102_1,315
lag_P_4_2,316
diff_D_58_2,317
diff_D_47_5,319
diff_D_60_8,319
diff_S_15_10,320
diff_D_65_9,323
expanding_max_R_6,323
lag_S_13_3,323
diff_R_11_9,323
expanding_min_R_5,325
diff_R_3_6,327
diff_D_71_7,327
diff_B_40_2,329
lag_R_11_1,329
expanding_min_S_5,331
diff_D_58_1,331
diff_B_37_5,332
diff_D_133_4,333
diff_S_5_3,334
rolling_std_B_28_6,335
rolling_mean_D_71_6,336
lag_D_144_1,337
diff_S_5_7,338
lag_D_133_2,339
diff_R_1_8,340
diff_D_144_5,341
diff_D_102_9,342
diff_B_1_3,343
diff_B_23_10,344
diff_R_10_8,346
expanding_min_S_26,346
diff_D_102_3,347
rolling_mean_R_1_6,349
diff_B_24_1,349
diff_R_11_1,349
rolling_mean_D_75_6,352
cummean_D_75,352
expanding_min_B_4,352
expanding_max_R_5,354
diff_D_133_2,355
diff_D_60_4,356
diff_R_16_6,357
diff_R_4_5,358
cummean_R_12,359
R_12,360
lag_R_3_2,361
diff_R_2_8,363
diff_R_6_8,363
S_11,364
diff_R_10_3,366
diff_B_28_6,366
lag_R_1_3,367
diff_B_37_8,368
diff_B_14_3,369
diff_D_51_7,370
rolling_mean_R_5_6,371
ewm_D_71_6,372
diff_B_40_7,374
diff_S_11_6,374
diff_R_1_1,376
diff_B_9_8,376
diff_S_13_4,378
diff_R_11_5,378
diff_B_5_5,378
diff_R_3_5,380
diff_B_5_4,381
diff_D_133_1,382
diff_R_1_3,383
D_144,384
expanding_max_B_24,386
diff_B_1_5,386
diff_S_13_7,387
rolling_std_D_71_6,388
diff_S_13_9,390
diff_S_13_5,390
diff_R_10_10,391
lag_B_7_3,392
diff_S_26_1,393
diff_B_18_3,394
lag_B_40_2,395
lag_D_144_2,397
diff_S_26_9,397
lag_B_28_1,398
rolling_std_D_58_6,400
diff_R_10_4,400
diff_D_51_1,401
lag_S_11_2,402
diff_R_16_2,404
diff_D_65_8,404
diff_B_18_2,404
diff_B_7_5,407
diff_B_10_3,407
diff_R_11_2,408
diff_R_11_4,410
lag_D_65_1,410
ewm_B_24_6,412
expanding_min_D_65,412
diff_D_75_7,413
diff_B_18_7,414
diff_D_144_6,415
diff_D_47_10,416
rolling_std_B_18_6,417
diff_R_6_1,418
diff_S_11_9,419
diff_R_4_6,420
rolling_std_R_11_6,422
diff_S_8_1,422
diff_R_5_3,423
diff_D_126_1.0_10,424
diff_B_7_7,425
diff_D_58_7,426
diff_S_5_8,427
diff_R_3_10,429
diff_B_23_6,429
R_10,431
lag_S_11_3,431
diff_B_9_10,432
diff_S_13_1,434
diff_D_133_9,434
rolling_std_S_8_6,434
lag_S_5_3,437
diff_B_5_1,437
diff_R_2_5,438
diff_B_14_1,439
diff_D_75_1,441
diff_S_5_6,441
lag_S_5_1,442
lag_D_71_2,443
diff_B_4_7,444
diff_S_11_10,445
cumsum_D_39,447
rolling_std_R_12_6,447
diff_R_6_3,449
diff_R_12_3,449
diff_B_24_4,450
diff_R_16_10,451
cumsum_B_4,453
expanding_min_S_13,453
rolling_mean_B_10_6,454
diff_D_71_10,456
diff_B_24_10,456
diff_D_71_6,457
cummean_D_58,458
lag_B_10_2,459
P_4,460
lag_S_13_1,461
lag_S_15_2,462
diff_R_12_2,464
diff_B_11_8,464
lag_R_12_1,465
lag_P_4_3,466
expanding_min_R_1,467
diff_R_5_5,468
diff_S_13_3,469
diff_S_26_3,470
diff_R_10_2,471
diff_B_12_10,472
ewm_R_6_6,475
diff_D_51_5,475
lag_R_6_2,475
diff_D_60_5,475
rolling_mean_B_9_6,478
diff_R_5_7,478
diff_S_15_3,478
diff_B_14_7,480
diff_D_60_10,481
diff_S_15_2,482
expanding_min_B_12,483
rolling_mean_R_2_6,485
diff_S_15_4,485
diff_S_26_7,486
diff_D_65_3,488
diff_D_39_1,488
diff_R_3_4,490
diff_R_12_8,490
diff_P_4_3,491
diff_B_14_10,493
diff_D_47_8,493
diff_D_133_7,495
lag_D_75_1,495
diff_S_15_1,495
expanding_min_R_2,497
lag_S_11_1,498
rolling_mean_S_5_6,499
diff_R_2_6,500
diff_R_1_5,501
diff_R_10_1,502
rolling_std_S_13_6,503
diff_R_5_10,504
diff_D_51_8,506
diff_R_16_3,506
diff_B_5_8,508
diff_S_11_1,508
diff_D_51_6,508
diff_D_144_1,510
diff_D_133_8,511
diff_D_47_2,512
diff_D_71_3,513
lag_R_10_1,515
diff_D_102_4,515
diff_P_4_6,515
diff_S_15_5,518
diff_S_11_5,518
cumsum_R_4,519
expanding_max_B_11,520
